Family	Control	Requirement	Testing Procedures	Guidance
	11.5.1	Implement a process to respond to any alerts generated by the change-detection solution.	Interview personnel to verify that all alerts are investigated and resolved.	
	11.6	Ensure that security policies and operational procedures for security monitoring and testing are documented, in use, and known to all affected parties.	Examine documentation and interview personnel to verify that security policies and operational procedures for security monitoring and testing are:  • Documented,  • In use, and  • Known to all affected parties.	Personnel need to be aware of and following security policies and operational procedures for security monitoring and testing on a continuous basis.
12		Maintain a policy that addresses information security for all personnel.		A strong security policy sets the security tone for the whole entity and informs personnel what is expected of them. All personnel should be aware of the sensitivity of data and their responsibilities for protecting it. For the purposes of Requirement 12, “personnel” refers to full-time and part-time employees, temporary employees, contractors and consultants who are “resident” on the entity’s site or otherwise have access to the cardholder data environment.
	12.1	Establish, publish, maintain, and disseminate a security policy.	Examine the information security policy and verify that the policy is published and disseminated to all relevant personnel (including vendors and business partners).	A company's information security policy creates the roadmap for implementing security measures to protect its most valuable assets. All personnel should be aware of the sensitivity of data and their responsibilities for protecting it.
	12.1.1	Review the security policy at least annually and update the policy when the environment changes.	Verify that the information security policy is reviewed at least annually and updated as needed to reflect changes to business objectives or the risk environment.	Security threats and protection methods evolve rapidly. Without updating the security policy to reflect relevant changes, new protection measures to fight against these threats are not addressed.
	12.2	Implement a risk-assessment process that:  • Is performed at least annually and upon significant changes to the environment (for example, acquisition, merger, relocation, etc.),  • Identifies critical assets, threats, and vulnerabilities, and  • Results in a formal, documented analysis of risk.    Examples of risk-assessment methodologies include but are not limited to OCTAVE, ISO 27005 and NIST SP 800-30.		A risk assessment enables an organization to identify threats and associated vulnerabilities with the potential to negatively impact their business. Examples of different risk considerations include cybercrime, web attacks, and POS malware. Resources can then be effectively allocated to implement controls that reduce the likelihood and/or the potential impact of the threat being realized.  Performing risk assessments at least annually and upon significant changes allows the organization to keep up to date with organizational changes and evolving threats, trends, and technologies.
	12.2.a		Verify that an annual risk-assessment process is documented that:  • Identifies critical assets, threats, and vulnerabilities  • Results in a formal, documented analysis of risk	
	12.2.b		Review risk-assessment documentation to verify that the risk-assessment process is performed at least annually and upon significant changes to the environment.	
	12.3	Develop usage policies for critical technologies and define proper use of these technologies.  Note:Examples of critical technologies include, but are not limited to, remote access and wireless technologies, laptops, tablets, removable electronic media, e-mail usage and Internet usage.  Ensure these usage policies require the following:	Examine the usage policies for critical technologies and interview responsible personnel to verify the following policies are implemented and followed:	Personnel usage policies can either prohibit use of certain devices and other technologies if that is company policy, or provide guidance for personnel as to correct usage and implementation. If usage policies are not in place, personnel may use the technologies in violation of company policy, thereby allowing malicious individuals to gain access to critical systems and cardholder data.
	12.3.1	Explicit approval by authorized parties	Verify that the usage policies include processes for explicit approval from authorized parties to use the technologies.	Without requiring proper approval for implementation of these technologies, individual personnel may innocently implement a solution to a perceived business need, but also open a huge hole that subjects critical systems and data to malicious individuals.
	12.3.2	Authentication for use of the technology	Verify that the usage policies include processes for all technology use to be authenticated with user ID and password or other authentication item (for example, token).	If technology is implemented without proper authentication (user IDs and passwords, tokens, VPNs, etc.), malicious individuals may easily use this unprotected technology to access critical systems and cardholder data.
	12.3.3	A list of all such devices and personnel with access	Verify that the usage policies define:  • A list of all critical devices, and  • A list of personnel authorized to use the devices.	Malicious individuals may breach physical security and place their own devices on the network as a “back door.” Personnel may also bypass procedures and install devices. An accurate inventory with proper device labeling allows for quick identification of non-approved installations.
	12.3.4	A method to accurately and readily determine owner, contact information, and purpose (for example, labeling, coding, and/or inventorying of devices)	Verify that the usage policies define a method to accurately and readily determine owner, contact information, and purpose (for example, labeling, coding, and/or inventorying of devices).	Malicious individuals may breach physical security and place their own devices on the network as a “back door.” Personnel may also bypass procedures and install devices. An accurate inventory with proper device labeling allows for quick identification of non-approved installations. Consider establishing an official naming convention for devices, and log all devices with established inventory controls. Logical labeling may be employed with information such as codes that can correlate the device to its owner, contact information, and purpose.
	12.3.5	Acceptable uses of the technology	Verify that the usage policies define acceptable uses for the technology.	By defining acceptable business use and location of company-approved devices and technology, the company is better able to manage and control gaps in configurations and operational controls, to ensure a “back door” is not opened for a malicious individual to gain access to critical systems and cardholder data.
	12.3.6	Acceptable network locations for the technologies	Verify that the usage policies define acceptable network locations for the technology.	
	12.3.7	List of company-approved products	Verify that the usage policies include a list of company-approved products.	
	12.3.8	Automatic disconnect of sessions for remote-access technologies after a specific period of inactivity		Remote-access technologies are frequent "back doors" to critical resources and cardholder data. By disconnecting remote-access technologies when not in use (for example, those used to support your systems by your POS vendor, other vendors, or business partners), access and risk to networks is minimized.
	12.3.8.a		Verify that the usage policies require automatic disconnect of sessions for remote-access technologies after a specific period of inactivity.	
	12.3.8.b		Examine configurations for remote access technologies to verify that remote access sessions will be automatically disconnected after a specific period of inactivity.	
	12.3.9	Activation of remote-access technologies for vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use	Verify that the usage policies require activation of remote-access technologies used by vendors and business partners only when needed by vendors and business partners, with immediate deactivation after use.	
	12.3.10	For personnel accessing cardholder data via remote-access technologies, prohibit the copying, moving, and storage of cardholder data onto local hard drives and removable electronic media, unless explicitly authorized for a defined business need.  Where there is an authorized business need, the usage policies must require the data be protected in accordance with all applicable PCI DSS Requirements.		To ensure all personnel are aware of their responsibilities to not store or copy cardholder data onto their local personal computers or other media, your policy should clearly prohibit such activities except for personnel that have been explicitly authorized to do so. Storing or copying cardholder data onto a local hard drive or other media must be in accordance with all applicable PCI DSS requirements.
	12.3.10.a		Verify that the usage policies prohibit copying, moving, or storing of cardholder data onto local hard drives and removable electronic media when accessing such data via remote-access technologies.	
	12.3.10.b		For personnel with proper authorization, verify that usage policies require the protection of cardholder data in accordance with PCI DSS Requirements.	
	12.4	Ensure that the security policy and procedures clearly define information security responsibilities for all personnel.		Without clearly defined security roles and responsibilities assigned, there could be inconsistent interaction with the security group, leading to unsecured implementation of technologies or use of outdated or unsecured technologies.
	12.4.a		Verify that information security policies clearly define information security responsibilities for all personnel.	
	12.4.b		Interview a sample of responsible personnel to verify they understand the security policies.	
	12.4.1	Additional requirement for service providers only:Executive management shall establish responsibility for the protection of cardholder data and a PCI DSS compliance program to include:  • Overall accountability for maintaining PCI DSS compliance  • Defining a charter for a PCI DSS compliance program and communication to executive management		Note:This requirement applies only when the entity being assessed is a service provider.  Executive management assignment of PCI DSS compliance responsibilities ensures executive-level visibility into the PCI DSS compliance program and allows for the opportunity to ask appropriate questions to determine the effectiveness of the program and influence strategic priorities. Overall responsibility for the PCI DSS compliance program may be assigned to individual roles and/or to business units within the organization.  Executive management may include C-level positions, board of directors, or equivalent. The specific titles will depend on the particular organizational structure. The level of detail provided to executive management should be appropriate for the particular organization and the intended audience.
	12.4.1.a		Examine documentation to verify executive management has assigned overall accountability for maintaining the entity’s PCI DSS compliance.	
	12.4.1.b		Examine the company’s PCI DSS charter to verify it outlines the conditions under which the PCI DSS compliance program is organized and communicated to executive management.	
	12.5	Assign to an individual or team the following information security management responsibilities:	Examine information security policies and procedures to verify:  • The formal assignment of information security to a Chief Security Officer or other security-knowledgeable member of management.  • The following information security responsibilities are specifically and formally assigned:	Each person or team with responsibilities for information security management should be clearly aware of their responsibilities and related tasks, through specific policy. Without this accountability, gaps in processes may open access into critical resources or cardholder data.  Entities should also consider transition and/or succession plans for key personnel to avoid potential gaps in security assignments, which could result in responsibilities not being assigned and therefore not performed.
	12.5.1	Establish, document, and distribute security policies and procedures.	Verify that responsibility for establishing, documenting and distributing security policies and procedures is formally assigned.	
	12.5.2	Monitor and analyze security alerts and information, and distribute to appropriate personnel.	Verify that responsibility for monitoring and analyzing security alerts and distributing information to appropriate information security and business unit management personnel is formally assigned.	
	12.5.3	Establish, document, and distribute security incident response and escalation procedures to ensure timely and effective handling of all situations.	Verify that responsibility for establishing, documenting, and distributing security incident response and escalation procedures is formally assigned.	
	12.5.4	Administer user accounts, including additions, deletions, and modifications.	Verify that responsibility for administering (adding, deleting, and modifying) user account and authentication management is formally assigned.	
	12.5.5	Monitor and control all access to data.	Verify that responsibility for monitoring and controlling all access to data is formally assigned.	
	12.6	Implement a formal security awareness program to make all personnel aware of the cardholder data security policy and procedures.		If personnel are not educated about their security responsibilities, security safeguards and processes that have been implemented may become ineffective through errors or intentional actions.
	12.6.a		Review the security awareness program to verify it provides awareness to all personnel about the cardholder data security policy and procedures .	
	12.6.b		Examine security awareness program procedures and documentation and perform the following:	
	12.6.1	Educate personnel upon hire and at least annually.  Note:Methods can vary depending on the role of the personnel and their level of access to the cardholder data.		If the security awareness program does not include periodic refresher sessions, key security processes and procedures may be forgotten or bypassed, resulting in exposed critical resources and cardholder data.
	12.6.1.a		Verify that the security awareness program provides multiple methods of communicating awareness and educating personnel (for example, posters, letters, memos, web-based training, meetings, and promotions).	
	12.6.1.b		Verify that personnel attend security awareness training upon hire and at least annually.	
	12.6.1.c		Interview a sample of personnel to verify they have completed awareness training and are aware of the importance of cardholder data security.	
	12.6.2	Require personnel to acknowledge at least annually that they have read and understood the security policy and procedures.	Verify that the security awareness program requires personnel to acknowledge, in writing or electronically, at least annually, that they have read and understand the information security policy.	Requiring an acknowledgement by personnel in writing or electronically helps ensure that they have read and understood the security policies/procedures, and that they have made and will continue to make a commitment to comply with these policies.
	12.7	Screen potential personnel prior to hire to minimize the risk of attacks from internal sources. (Examples of background checks include previous employment history, criminal record, credit history, and reference checks.)  Note:For those potential personnel to be hired for certain positions such as store cashiers who only have access to one card number at a time when facilitating a transaction, this requirement is a recommendation only.	Inquire with Human Resource department management and verify that background checks are conducted (within the constraints of local laws) prior to hire on potential personnel who will have access to cardholder data or the cardholder data environment.	Performing thorough background investigations prior to hiring potential personnel who are expected to be given access to cardholder data reduces the risk of unauthorized use of PANs and other cardholder data by individuals with questionable or criminal backgrounds.
	12.8	Maintain and implement policies and procedures to manage service providers with whom cardholder data is shared, or that could affect the security of cardholder data, as follows:	Through observation, review of policies and procedures, and review of supporting documentation, verify that processes are implemented to manage service providers with whom cardholder data is shared, or that could affect the security of cardholder data as follows:	If a merchant or service provider shares cardholder data with a service provider, certain requirements apply to ensure continued protection of this data will be enforced by such service providers.  Some examples of the different types of service providers include backup tape storage facilities, managed service providers such as web-hosting companies or security service providers, entities that receive data for fraud-modeling purposes, etc.
	12.8.1	Maintain a list of service providers including a description of the service provided.	Verify that a list of service providers is maintained and includes a description of the service provided.	Keeping track of all service providers identifies where potential risk extends to outside of the organization.
	12.8.2	Maintain a written agreement that includes an acknowledgement that the service providers are responsible for the security of cardholder data the service providers possess or otherwise store, process or transmit on behalf of the customer, or to the extent that they could impact the security of the customer’s cardholder data environment.  Note:The exact wording of an acknowledgement will depend on the agreement between the two parties, the details of the service being provided, and the responsibilities assigned to each party. The acknowledgement does not have to include the exact wording provided in this requirement.	Observe written agreements and confirm they include an acknowledgement by service providers that they are responsible for the security of cardholder data the service providers possess or otherwise store, process or transmit on behalf of the customer, or to the extent that they could impact the security of the customer’s cardholder data environment.	The acknowledgement of the service providers evidences their commitment to maintaining proper security of cardholder data that it obtains from its clients. The extent to which the service provider is responsible for the security of cardholder data will depend on the particular service and the agreement between the provider and assessed entity.  In conjunction with Requirement 12.9, this requirement is intended to promote a consistent level of understanding between parties about their applicable PCI DSS responsibilities. For example, the agreement may include the applicable PCI DSS requirements to be maintained as part of the provided service.
	12.8.3	Ensure there is an established process for engaging service providers including proper due diligence prior to engagement.	Verify that policies and procedures are documented and implemented including proper due diligence prior to engaging any service provider.	The process ensures that any engagement of a service provider is thoroughly vetted internally by an organization, which should include a risk analysis prior to establishing a formal relationship with the service provider.  Specific due-diligence processes and goals will vary for each organization. Examples of considerations may include the provider’s reporting practices, breach-notification and incident response procedures, details of how PCI DSS responsibilities are assigned between each party, how the provider validates their PCI DSS compliance and what evidence they will provide, etc.
	12.8.4	Maintain a program to monitor service providers’ PCI DSS compliance status at least annually.	Verify that the entity maintains a program to monitor its service providers’ PCI DSS compliance status at least annually.	Knowing your service providers’ PCI DSS compliance status provides assurance and awareness about whether they comply with the same requirements that your organization is subject to. If the service provider offers a variety of services, this requirement should apply to those services delivered to the client, and those services in scope for the client’s PCI DSS assessment.  The specific information an entity maintains will depend on the particular agreement with their providers, the type of service, etc. The intent is for the assessed entity to understand which PCI DSS requirements their providers have agreed to meet.
	12.8.5	Maintain information about which PCI DSS requirements are managed by each service provider, and which are managed by the entity. Additional requirement for service providers only:Service providers acknowledge in writing to customers that they are responsible for the security of cardholder data the service provider possesses or otherwise stores, processes, or transmits on behalf of the customer, or to the extent that they could impact the security of the customer’s cardholder data environment.  Note:The exact wording of an acknowledgement will depend on the agreement between the two parties, the details of the service being provided, and the responsibilities assigned to each party. The acknowledgement does not have to include the exact wording provided in this requirement.	Verify the entity maintains information about which PCI DSS requirements are managed by each service provider, and which are managed by the entity.	
	12.9		Additional testing procedure for service provider assessments only:Review service provider’s policies and procedures and observe templates used for written agreements to confirm the service provider acknowledges in writing to customers that the service provider will maintain all applicable PCI DSS requirements to the extent the service provider possesses or otherwise stores, processes, or transmits cardholder data on behalf of the customer, or to the extent that they could impact the security of the customer’s cardholder data environment.	Note:This requirement applies only when the entity being assessed is a service provider.  In conjunction with Requirement 12.8.2, this requirement is intended to promote a consistent level of understanding between service providers and their customers about their applicable PCI DSS responsibilities. The acknowledgement of the service providers evidences their commitment to maintaining proper security of cardholder data that it obtains from its clients.  The service provider’s internal policies and procedures related to their customer engagement process and any templates used for written agreements should include provision of an applicable PCI DSS acknowledgement to their customers. The method by which the service provider provides written acknowledgment should be agreed between the provider and their customers.
	12.1	Implement an incident response plan. Be prepared to respond immediately to a system breach.	Examine the incident response plan and related procedures to verify entity is prepared to respond immediately to a system breach by performing the following:	Without a thorough security incident response plan that is properly disseminated, read, and understood by the parties responsible, confusion and lack of a unified response could create further downtime for the business, unnecessary public media exposure, as well as new legal liabilities.
	12.10.1	Create the incident response plan to be implemented in the event of system breach. Ensure the plan addresses the following, at a minimum:  • Roles, responsibilities, and communication and contact strategies in the event of a compromise including notification of the payment brands, at a minimum  • Specific incident response procedures  • Business recovery and continuity procedures  • Data backup processes  • Analysis of legal requirements for reporting compromises  • Coverage and responses of all critical system components  • Reference or inclusion of incident response procedures from the payment brands.		The incident response plan should be thorough and contain all the key elements to allow your company to respond effectively in the event of a breach that could impact cardholder data.
	12.10.1.a		Verify that the incident response plan includes:  • Roles, responsibilities, and communication strategies in the event of a compromise including notification of the payment brands, at a minimum  • Specific incident response procedures  • Business recovery and continuity procedures  • Data backup processes  • Analysis of legal requirements for reporting compromises (for example, California Bill 1386, which requires notification of affected consumers in the event of an actual or suspected compromise for any business with California residents in their database)  • Coverage and responses for all critical system components  • Reference or inclusion of incident response procedures from the payment brands.	
	12.10.1.b		Interview personnel and review documentation from a sample of previously reported incidents or alerts to verify that the documented incident response plan and procedures were followed.	
	12.10.2	Review and test the plan, including all elements listed in Requirement 12.10.1, at least annually.	Interview personnel and review documentation from testing to verify that the plan is tested at least annually, and that testing includes all elements listed in Requirement 12.10.1.	Without proper testing, key steps may be missed, which could result in increased exposure during an incident.
	12.10.3	Designate specific personnel to be available on a 24/7 basis to respond to alerts.	Verify through observation, review of policies, and interviews of responsible personnel that designated personnel are available for 24/7 incident response and monitoring coverage for any evidence of unauthorized activity, detection of unauthorized wireless access points, critical IDS alerts, and/or reports of unauthorized critical system or content file changes.	Without a trained and readily available incident response team, extended damage to the network could occur, and critical data and systems may become “polluted” by inappropriate handling of the targeted systems. This can hinder the success of a post-incident investigation.
	12.10.4	Provide appropriate training to staff with security breach response responsibilities.	Verify through observation, review of policies, and interviews of responsible personnel that staff with responsibilities for security breach response are periodically trained.	
	12.10.5	Include alerts from security monitoring systems, including but not limited to intrusion-detection, intrusion-prevention, firewalls, and file-integrity monitoring systems.	Verify through observation and review of processes that monitoring and responding to alerts from security monitoring systems are covered in the incident response plan.	These monitoring systems are designed to focus on potential risk to data, are critical in taking quick action to prevent a breach, and must be included in the incident-response processes.
	12.10.6	Develop a process to modify and evolve the incident response plan according to lessons learned and to incorporate industry developments.	Verify through observation, review of policies, and interviews of responsible personnel that there is a process to modify and evolve the incident response plan according to lessons learned and to incorporate industry developments.	Incorporating “lessons learned” into the incident response plan after an incident helps keep the plan current and able to react to emerging threats and security trends.
	12.11	Additional requirement for service providers only:Perform reviews at least quarterly to confirm personnel are following security policies and operational procedures. Reviews must cover the following processes:  • Daily log reviews  • Firewall rule-set reviews  • Applying configuration standards to new systems  • Responding to security alerts  • Change management processes		Note:This requirement applies only when the entity being assessed is a service provider.  Regularly confirming that security policies and procedures are being followed provides assurance that the expected controls are active and working as intended. The objective of these reviews is not to re-perform other PCI DSS requirements, but to confirm whether procedures are being followed as expected.
	12.11.a		Examine policies and procedures to verify that processes are defined for reviewing and confirming that personnel are following security policies and operational procedures, and that reviews cover:  • Daily log reviews  • Firewall rule-set reviews  • Applying configuration standards to new systems  • Responding to security alerts  • Change management processes	
	12.11.b		Interview responsible personnel and examine records of reviews to verify that reviews are performed at least quarterly.	
	12.11.1	Additional requirement for service providers only:Maintain documentation of quarterly review process to include:  • Documenting results of the reviews  • Review and sign-off of results by personnel assigned responsibility for the PCI DSS compliance program	Examine documentation from the quarterly reviews to verify they include:  • Documenting results of the reviews  • Review and sign-off of results by personnel assigned responsibility for the PCI DSS compliance program	Note:This requirement applies only when the entity being assessed is a service provider.  The intent of these independent checks is to confirm whether security activities are being performed on an ongoing basis. These reviews can also be used to verify that appropriate evidence is being maintained—for example, audit logs, vulnerability scan reports, firewall reviews, etc.—to assist the entity’s preparation for its next PCI DSS assessment.
	A1	Protect each entity’s (that is, merchant, service provider, or other entity) hosted environment and data, per A1.1 through A1.4:  A hosting provider must fulfill these requirements as well as all other relevant sections of the PCI DSS.  Note:Even though a hosting provider may meet these requirements, the compliance of the entity that uses the hosting provider is not guaranteed. Each entity must comply with the PCI DSS and validate compliance as applicable.	Specifically for a PCI DSS assessment of a shared hosting provider, to verify that shared hosting providers protect entities’ (merchants and service providers) hosted environment and data, select a sample of servers (Microsoft Windows and Unix/Linux) across a representative sample of hosted merchants and service providers,and perform A1.1 through A1.4 below:	Appendix Aof PCI DSS is intended for shared hosting providers who wish to provide their merchant and/or service provider customers with a PCI DSS compliant hosting environment.
	A1.1	Ensure that each entity only runs processes that have access to that entity’s cardholder data environment.	If a shared hosting provider allows entities (for example, merchants or service providers) to run their own applications, verify these application processes run using the unique ID of the entity. For example:  • No entity on the system can use a shared web server user ID.  • All CGI scripts used by an entity must be created and run as the entity’s unique user ID.	If a merchant or service provider is allowed to run their own applications on the shared server, these should run with the user ID of the merchant or service provider, rather than as a privileged user.
	A1.2	Restrict each entity’s access and privileges to its own cardholder data environment only.		To ensure that access and privileges are restricted such that each merchant or service provider has access only to their own environment, consider the following:  1. Privileges of the merchant’s or service provider’s web server user ID;  2. Permissions granted to read, write, and execute files;  3. Permissions granted to write to system binaries;  4. Permissions granted to merchant’s and service provider’s log files; and  5. Controls to ensure one merchant or service provider cannot monopolize system resources.
	A1.2.a		Verify the user ID of any application process is not a privileged user (root/admin).	
	A1.2.b		Verify each entity (merchant, service provider) has read, write, or execute permissions only for files and directories it owns or for necessary system files (restricted via file system permissions, access control lists, chroot, jailshell, etc.)  Important:An entity’s files may not be shared by group.	
	A1.2.c		Verify that an entity’s users do not have write access to shared system binaries.	
	A1.2.d		Verify that viewing of log entries is restricted to the owning entity.	
	A1.2.e		To ensure each entity cannot monopolize server resources to exploit vulnerabilities (for example, error, race, and restart conditions resulting in, for example, buffer overflows), verify restrictions are in place for the use of these system resources:  • Disk space  • Bandwidth  • Memory  • CPU	
	A1.3	Ensure logging and audit trails are enabled and unique to each entity’s cardholder data environment and consistent with PCI DSS Requirement 10.	Verify the shared hosting provider has enabled logging as follows, for each merchant and service provider environment:  • Logs are enabled for common third-party applications.  • Logs are active by default.  • Logs are available for review by the owning entity.  • Log locations are clearly communicated to the owning entity.	Logs should be available in a shared hosting environment so the merchants and service providers have access to, and can review, logs specific to their cardholder data environment.
	A1.4	Enable processes to provide for timely forensic investigation in the event of a compromise to any hosted merchant or service provider.	Verify the shared hosting provider has written policies that provide for a timely forensics investigation of related servers in the event of a compromise.	Shared hosting providers must have processes to provide quick and easy response in the event that a forensic investigation is needed for a compromise, down to the appropriate level of detail so that an individual merchant’s or service provider’s details are available.
	A2	Additional PCI DSS Requirements for Entities using SSL/Early TLS for Card-Present POS POI Terminal Connections		Entities using SSL and early TLS for POS POI terminal connections must work toward upgrading to a strong cryptographic protocol as soon as possible. Additionally, SSL and/or early TLS must not be introduced into environments where those protocols don’t already exist. At the time of publication, the known vulnerabilities are difficult to exploit in POS POI payment terminals. However, new vulnerabilities could emerge at any time, and it is up to the organization to remain up to date with vulnerability trends and determine whether or not they are susceptible to any known exploits.The PCI DSS requirements directly affected are:Requirement 2.2.3Implement additional security features for any required services, protocols, or daemons that are considered to be insecure.Requirement 2.3Encrypt all non-console administrative access using strong cryptography.Requirement 4.1Use strong cryptography and security protocols to safeguard sensitive cardholder data during transmission over open, public networks.SSL and early TLS must not be used as a security control to meet these requirements, except in the case of POS POI terminal connections as detailed in this appendix. To support entities working to migrate away from SSL/early TLS on POS POI terminals, the following provisions are included:• New POS POI terminal implementations must not use SSL or early TLS as a security control.• All POS POI terminal service providers must provide a secure service offering.• Service providers supporting existing POS POI terminal implementations that use SSL and/or early TLS must have a formal Risk Mitigation and Migration Plan in place.• POS POI terminals in card-present environments that can be verified as not being susceptible to any known exploits for SSL and early TLS, and the SSL/TLS termination points to which they connect, may continue using SSL/early TLS as a security control.This Appendix only applies to entities using SSL/early TLS as a security control to protect POS POI terminals, including service providers who provide connections into POS POI terminals.
	A2.1	Where POS POI terminals (at the merchant or payment acceptance location) use SSL and/or early TLS, the entity must confirm the devices are not susceptible to any known exploits for those protocols.  Note:This requirement is intended to apply to the entity with the POS POI terminal, such as a merchant. This requirement is not intended for service providers who serve as the termination or connection point to those POS POI terminals. Requirements A2.2 and A2.3 apply to POS POI service providers.	For POS POI terminals using SSL and/or early TLS,confirm the entity has documentation (for example, vendor documentation, system/network configuration details, etc.) that verifies the devices are not susceptible to any known exploits for SSL/early TLS.	POS POI terminals used in card-present environments can continue using SSL/early TLS when it can be shown that the POS POI terminal is not susceptible to the currently known exploits.  However, SSL is an outdated technology and may be subject to additional security vulnerabilities in the future; it is therefore strongly recommended that POS POI terminals be upgraded to a secure protocol as soon as possible. If SSL/early TLS is not needed in the environment, use of and fallback to these versions should be disabled.  Refer to the current PCI SSC Information Supplements on SSL/Early TLS for further guidance.  Note:The allowance for POS POI terminals that are not currently susceptible to exploits is based on current, known risks. If new exploits are introduced to which POS POI terminals are susceptible, the POS POI terminals will need to be updated immediately.
	A2.2	Requirement for Service Providers Only:All service providers with existing connection points to POS POI terminals referred to in A2.1 that use SSL and/or early TLS must have a formal Risk Mitigation and Migration Plan in place.	Review the documented Risk Mitigation and Migration Plan to verify it includes:  • Description of usage, including what data is being transmitted, types and number of systems that use and/or support SSL/early TLS, type of environment;  • Risk-assessment results and risk-reduction controls in place;  • Description of processes to monitor for new vulnerabilities associated with SSL/early TLS;  • Description of change control processes that are implemented to ensure SSL/early TLS is not implemented into new environments;  • Overview of migration project plan to replace SSL/early TLS at a future date.	POS POI termination points, including but not limited to a service providers such as an acquirer or acquirer processor, can continue using SSL/early TLS when it can be shown that the service provider has controls in place that mitigate the risk of supporting those connections for the service provider environment.  The Risk Mitigation and Migration Plan is a document prepared by the entity that details their plans for migrating to a secure protocol, and also describes controls the entity has in place to reduce the risk associated with SSL/early TLS until the migration is complete.  Service providers should communicate to all customers using SSL/early TLS about the risks associated with its use and need to migrate to a secure protocol.  Refer to the current PCI SSC Information Supplements on SSL/early TLS for further guidance on Risk Mitigation and Migration Plans.
	A2.3	Requirement for Service Providers Only:All service providers must provide a secure service offering.	Examine system configurations and supporting documentation to verify the service provider offers a secure protocol option for their service.	Service providers supporting SSL/early TLS connections for POS POI terminals should also provide a secure protocol option.  Refer to the current PCI SSC Information Supplements on SSL/Early TLS for further guidance.
	A3	Designated Entities Supplemental Validation (DESV)		This Appendix applies only to entities designated by a payment brand(s) or acquirer as requiring additional validation of existing PCI DSS requirements. Examples of entities that this Appendix could apply to include: Those storing, processing, and/or transmitting large volumes of cardholder data, Those providing aggregation points for cardholder data, or Those that have suffered significant or repeated breaches of cardholder data.These supplemental validation steps are intended to provide greater assurance that PCI DSS controls are maintained effectively and on a continuous basis through validation of business-as-usual (BAU) processes, and increased validation and scoping consideration.The additional validation steps in this document are organized into the following control areas:A3.1 Implement a PCI DSS compliance program.A3.2 Document and validate PCI DSS scope.A3.3 Validate PCI DSS is incorporated into business-as-usual (BAU) activities.A3.4 Control and manage logical access to the cardholder data environment.A3.5 Identify and respond to suspicious events.Note: Some requirements have defined timeframes (for example, at least quarterly or every six months) within which certain activities are to be performed. For initial assessment to this document, it is not required that an activity has been performed for every such timeframe during the previous year, if the assessor verifies:1) The activity was performed in accordance with the applicable requirement within the most recent timeframe (that is, the most recent quarter or six-month period), and2) The entity has documented policies and procedures for continuing to perform the activity within the defined timeframe.For subsequent years after the initial assessment, an activity must have been performed for each timeframe for which it is required (for example, a quarterly activity must have been performed for each of the previous year’s four quarters).Note: An entity is required to undergo an assessment according to this Appendix ONLY if instructed to do so by an acquirer or a payment brand.
	A3.1	Implement a PCI DSS compliance program		
	A3.1.1	A3.1.1Executive management shall establish responsibility for the protection of cardholder data and a PCI DSS compliance program to include:  • Overall accountability for maintaining PCI DSS compliance  • Defining a charter for a PCI DSS compliance program  • Providing updates to executive management and board of directors on PCI DSS compliance initiatives and issues, including remediation activities, at least annually    PCI DSS Reference:Requirement 12		Executive management assignment of PCI DSS compliance responsibilities ensures executive-level visibility into the PCI DSS compliance program and allows for the opportunity to ask appropriate questions to determine the effectiveness of the program and influence strategic priorities. Overall responsibility for the PCI DSS compliance program may be assigned to individual roles and/or to business units within the organization.
	A3.1.1.a		A3.1.1.aExamine documentation to verify executive management has assigned overall accountability for maintaining the entity’s PCI DSS compliance.	
	A3.1.1.b		A3.1.1.bExamine the company’s PCI DSS charter to verify it outlines the conditions under which the PCI DSS compliance program is organized.	
	A3.1.1.c		A3.1.1.cExamine executive management and board of directors meeting minutes and/or presentations to ensure PCI DSS compliance initiatives and remediation activities are communicated at least annually.	
	A3.1.2	A formal PCI DSS compliance program must be in place to include:  • Definition of activities for maintaining and monitoring overall PCI DSS compliance, including business-as-usual activities  • Annual PCI DSS assessment processes  • Processes for the continuous validation of PCI DSS requirements (for example: daily, weekly, quarterly, etc. as applicable per requirement)  • A process for performing business-impact analysis to determine potential PCI DSS impacts for strategic business decisions    PCI DSS Reference:Requirements 1-12		A formal compliance program allows an organization to monitor the health of its security controls, be proactive in the event that a control fails, and effectively communicate activities and compliance status throughout the organization.  The PCI DSS compliance program can be a dedicated program or part of an over-arching compliance and/or governance program, and should include a well-defined methodology that demonstrates consistent and effective evaluation. Example methodologies include: Deming Circle of Plan-Do-Check-Act (PDCA), ISO 27001, COBIT, DMAIC, and Six Sigma. Maintaining and monitoring an organization’s overall PCI DSS compliance includes identifying activities to be performed daily, weekly, monthly, quarterly, or annually, and ensuring these activities are being performed accordingly (for example, using a security self-assessment or PDCA methodology). Examples of strategic business decisions that should be analyzed for potential PCI DSS impacts may include mergers and acquisitions, new technology purchases, or new payment-acceptance channels.
