Control	Low	Moderate	High	PHI	Parameters
SI-8				+GR	Justification for Selection: HIPAA requires organizations to implement procedures for guarding against, detecting and reporting malicious software which can be introduced to the system through spam. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(5)(ii)(B); 45 C.F.R. §164.308(a)(6)(ii)
SI-10		+VR	+VR		Justification for Selection: Information input validation serves two important purposes for protecting PII: 1) when PII is entered, validation techniques support data quality measures (e.g., ensuring the PII entered is the expected type and format of data), and 2) it provides the capability to limit or exclude PII from being entered into a field (e.g., recognizing a restricted format, such as an SSN). Moderate and High PII Confidentiality Impact Level Parameter Values: … PII… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5), (e)(6), and (e)(10)
SI-11	+VR	+VR	+VR	+VR	Justification for Selection: An error in a system may reveal PII or PHI. For example, if there is an error posting a form that contains PII and the system includes the PII entered in the form when it writes to the error log, it will be visible to whoever has access permissions to the error log. Therefore, error handling must be considered in design of the system and access to errors containing PII or PHI should be provided only to those individuals with a need for that information in the performance of their duties. Low, Moderate, and High PII Confidentiality Impact Level Parameter Values: b. … authorized individuals with a need for the information in the performance of their duties… PHI Parameter Values: b. … authorized individuals with a need for the information in the performance of their duties… Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5) and (10); OMB Circular A-130, 7.g. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(3)(i)
SI-12	+EGR	+EGR	+EGR	+EGR	Justification for Selection: PII, even if not considered a "record" by statute, should be handled and retained in accordance with applicable regulatory requirements, organizational policies, industry best practices, and the FIPPs. Retention and handling of PII which meets the definition of a "record" as defined by the Federal Records Act (44 U.S.C. §3301) should be addressed in a records disposition schedule. For PII that meets the definition of a "record" as defined by the Privacy Act, for purposes of providing notice the associated SORN should reflect the retention period from the organization's applicable record retention schedule. PHI must be handled and retained in accordance with the HIPAA Security Rule as it has specific requirements for information handling and record retention. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: For PII maintained in a Privacy Act system of records, the corresponding record management requirements, including retention periods, must be addressed in the system of records notice (SORN). PHI Control Extension: HIPAA requires that the following actions, activities, and assessments relating to the security of systems containing PHI be documented and retained for at least six years from the date of its creation or the date when it was last in effect, whichever is later: • Decisions regarding addressable implementation specifications, specifically why it would not be reasonable and appropriate to implement the implementation specification in question; • A user's right of access to a workstation, transaction, program, or process; • Security incidents and their outcomes; • Satisfactory assurances that a business associate will appropriately safeguard PHI. This documentation is recorded in a written contract or other arrangement with the business associate and must meet the applicable requirements of business associate agreements. If satisfactory assurances cannot be attained, document the attempt and the reasons that these assurances cannot be obtained; • Repairs and modifications to the physical components of a facility which are related to security (for example, hardware, walls, doors, and locks); and • Changes to organizational policies and procedures. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AP-2, DM-2,TR-2. PHI Supplemental Guidance: Related Control: AC-21. Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(4) PHI Regulatory/Statutory References: 44 U.S.C. §3301, 45 C.F.R. §164.316(b)(1)(ii); 45 C.F.R. §164.316(b)(2)(i)
PM-1	+GR	+GR	+GR	+R	Justification for Selection: Many parts of a privacy program rely on the organization having a sound information security program. Similarly, an information security program is informed by the requirements of a privacy program. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: The organization's approach to protection of PII should be included in the information security program plan, including defining roles and responsibilities for protecting PII. Related Control: AR-1. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(10); OMB Circular A-130, 7.g.; Federal Information Security Management Act (Pub. L. No. 107-347) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308 (a)(1)(i)
PM-2	GR	GR	GR	+ER	Justification for Selection: Assigning security responsibilities to a senior official supports the HIPAA Security Rule. PHI Control Extension: The organization must designate privacy and security officials responsible for the development and implementation of the policies and procedures required by HIPAA (45 C.F.R. parts 160 and 164). PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(2); 45 C.F.R. §164.530(a) Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: AR-1 Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-05-08
PM-3	+R	+R	+R		Justification for Selection: Ensuring that information security is adequately resourced supports the implementation of all security-related privacy requirements. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: E-Government Act of 2002 (Pub. L. No. 107-347), §208
PM-5	+GR	+GR	+GR	+GR	Justification for Selection: Maintaining a current information system inventory supports privacy by informing PII inventories, data flows, and generally assists in monitoring the maintenance and use of PII. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Control: SE-1. PHI Supplemental Guidance: Information system inventory should govern the receipt and removal of hardware and electronic media that contains PHI. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: E-Government Act of 2002 (44 U.S.C. §3541); OMB M-07-16 Att. 1, B.1. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.310(d)
PM-7	+GR	+GR	+GR	+R	Justification for Selection: Building privacy and security requirements into the Enterprise Architecture promotes the successful and consistent incorporation of information security and privacy practices into an organization's business activities, processes, and systems. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Reference the Federal Enterprise Architecture Security and Privacy Profile (FEA-SPP) for additional information. Related Control: AR-7. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(10); OMB Circular A-130, 7.g.; Federal Information Management Security Act (Pub. L. No. 107-347) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(1)(i)
PM-9	+ER	+ER	+ER	+ER	Justification for Selection: A comprehensive risk management strategy includes privacy as an input where appropriate to ensure privacy risks to individuals and organizations are identified, prioritized, and managed consistently across the organization's business processes, programs, and systems. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: The risk management strategy must include a process to evaluate and address privacy risks for individuals and information (data) such as risk to individual, risk to the system, risk to the organization, and risk to the enterprise. In addition to business risks that arise out of privacy violations, such as reputation or liability risks, organizational policies should also focus on minimizing the risk of harm to individuals. PHI Control Extension: The risk management strategy must include a process to evaluate and address privacy risks for individuals and PHI such as risk to individual, risk to the system, risk to the organization, and risk to the enterprise. In addition to business risks that arise out of privacy violations, such as reputation or liability risks, organizational policies should also focus on minimizing the risk of harm to individuals. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: OMB Circular A-130, 7.g.; OMB M-03-22; OMB M-06-16; OMB M-07-16, Att. 1, B.1 and Att. 2, A.1 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(1)(ii); 45 C.F.R. §164.316(a)
PM-10	+EGR	+EGR	+EGR	+ER	Justification for Selection: The security authorization process provides a means for evaluating whether a system/process has met given privacy safeguards and documentation requirements. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: The organization's security authorization process must ensure privacy safeguards and privacy documentation requirements, such PIAs and SORNs when applicable, have been appropriately addressed prior to any security authorization. PHI Control Extension: The organization's security authorization process must ensure privacy safeguards and privacy documentation requirements have been appropriately addressed prior to any security authorization. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AR-2, AR-7, TR-1,TR-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(10); Pub. L. No. 107-347, §208; OMB Circular A-130, 7.g. and 8.b.(3) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(2)
PM-11	+EGR	+EGR	+EGR	+R	Justification for Selection: The way an organization defines its mission/business processes will have different levels of impact on privacy risks stemming from those processes. Reviewing and revising mission/business processes until achievable privacy protections are obtained is vital to reducing risk. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: When defining mission/business processes for information security and identifying resulting risks, the organization must address the privacy risks stemming from those processes. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: In addition to business risks that arise out of privacy violations, such as reputation or liability risks, organizational policies should also focus on minimizing the risk of harm to individuals. Related Control: AR-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130, 7.g. and 8.b.(1)(b), 8.b.(2)(b), and Appendix IV PHI Regulatory/Statutory References: 45 C.F.R. §164.306(a) and (b)
PM-12	+ER	+ER	+ER		Justification for Selection: The privacy risks inherent with amalgamating sensitive PII from a myriad of data resources within an organization, such as human resource and background investigation information, and the potential for scope creep require the active participation, review, and concurrence of the Privacy Officer. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: When defining the requirements for and designing an organization's insider threat program, the insider threat team must engage the participation, and obtain concurrence, of the organization's Privacy Officer prior to implementation. For existing insider threat programs, conduct a review of the program with the organization's Privacy Officer to ensure program meets applicable privacy requirements. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5), (9), (10), ; E-Government Act of 2002 (Pub. L. No. 107-347), §208; OMB Circular A-130, 7.g.; OMB M-07-16
PM-13	GR	GR	GR	R	Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: In order to implement adequate security controls, the organization's information security and privacy workforce should be knowledgeable of the applicable privacy and security requirements commensurate with the level of access or responsibility for applying appropriate safeguards. The information security workforce should receive role-based training for the privacy requirements commensurate with the level of access or responsibility for applying safeguards to PII. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9)-(10); OMB Circular A-130, 7.g.; OMB M-07-16 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(2)
PM-14	+EGR	+EGR	+EGR		Justification for Selection: It is critical to integrate privacy risk management, compliance monitoring, and testing into the organizational risk management strategy and the associated testing and training requirements otherwise an important aspect of privacy may be overlooked. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Reviews testing, training and monitoring plans for consistency with the organizational privacy risk management strategy. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Related Controls: AR-4, AR-5, DM-3, SE-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9)-(10); Pub. L. No. 107-347, §208; OMB Circular A130, 7.g.; OMB M-07-16 Att.1, A.2.
PM-15	+EGR	+EGR	+EGR		Justification for Selection: To maximize organizational compliance with privacy requirements and best practices, the organization should ensure its privacy professionals engage with both the organization's security community and the Federal privacy community to remain current and to share lessons-learned or other privacy-related information. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: The organization establishes and institutionalizes contact for its privacy professionals with both the organization's security community and selected groups and associations within the Federal privacy community: a. To facilitate ongoing privacy education and training for organizational personnel; b. To maintain currency with recommended privacy practices, techniques, and technologies; and c. To share current privacy-related information including threats, vulnerabilities, and incidents. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Ongoing contact with privacy groups and associations is of paramount importance in an environment of rapidly changing technologies and threats. Privacy groups and associations include, for example, special interest groups, forums, professional associations, news groups, and/or peer groups of privacy professionals in similar organizations. Organizations select groups and associations based on organizational missions/business functions. Organizations share threat, vulnerability, and incident information consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Related Control: AR-1. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a; Pub. L. No. 107-347, §208; OMB Circular A-130, 7.g.; OMB M-07-16; OMB M-05-08
AP-1	+GR	+GR	+GR		Justification for Selection: An organization identifies the legal authority permitting collection. Additional measures, including design choices, ensure the information system collecting, using, maintaining, or disseminating PII complies with those authorities permitting the collection. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Ensure PII collected, used, maintained, or disseminated by the information system is related to, and compatible with, the purpose and scope of the authority described in the information system documentation, including privacy documentation such as a SORN or PIA when applicable. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a; Pub. L. No. 107-347, §208
AP-2	+GR	+GR	+GR		Justification for Selection: An organization identifies the authorized purpose(s) for collection, use, maintenance, or dissemination of PII. Additional measures, including, but not limited to, design choices and auditing, ensure the information system collecting, using, maintaining, or disseminating PII complies with those authorized purposes. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Ensure the PII collected, used, maintained, or disseminated by the information system adheres to the specific purpose(s) described in the information system documentation, including privacy documentation such as a SORN or PIA when applicable. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(3)(A)-(B); Pub. L. No. 107-347, §208(b)(2)(B)(ii) and (c)(1)(B)
AR-1	+EGR	+EGR	+EGR	+GR	Justification for Selection: Effective implementation of privacy and security controls requires a collaborative partnering of the SAOP (or CPO), Chief Information Officer (CIO), and Chief Information Security Officer (CISO). To maximize organizational compliance with privacy requirements and best practices, the organization should ensure its privacy professionals engage with both its security community and the Federal privacy community to remain current and to share lessons-learned or other privacy-related information. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Development of the strategic organizational privacy plan must be done in consultation with the CIO and CISO. The organization establishes and institutionalizes contact for its privacy professionals with selected groups and associations within the privacy community: a. To facilitate ongoing privacy education and training for organizational personnel; b. To maintain currency with recommended privacy practices, techniques, and technologies; and c. To share current privacy-related information including threats, vulnerabilities, and incidents. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Ongoing contact with privacy groups and associations is of paramount importance in an environment of rapidly changing technologies and threats. Privacy groups and associations include, for example, special interest groups, forums, professional associations, news groups, and/or peer groups of privacy professionals in similar organizations. Organizations select groups and associations based on organizational missions/business functions. Organizations share threat, vulnerability, and incident information consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Related Control: PM-15. PHI Supplemental Guidance: HIPAA requires policies, procedures, and personnel designations to be documented and for organizations to monitor changes in law. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a; 44 U.S.C. §3506 (a)(3) and (g); Pub. L. No. 107-347, §208; OMB Circular A-130, 7.g.; OMB M-07-16; OMB M-05-08 PHI Regulatory/Statutory References: 45 C.F.R. §164.530(a)(1)(i); 45 C.F.R. §164.530(i)(1), (2), and (3)
AR-2	+GR	+GR	+GR	+R	Justification for Selection: Effective implementation of privacy risk management processes requires both organizational and information system processes across the life cycle of the mission, business processes, and information system. Privacy Impact Assessments are structured reviews (qualitative and quantitative) of both the risk and effect of how information is handled and maintained as well as the potential impacts or harms to individuals and organizations for loss of control or mishandling of the PII.34 A PIA-like process, even if not required for a particular information system, benefits an organization and the individuals whose PII is in the information system by enabling the organization to identify, evaluate, and manage the privacy risks for the PII in that system. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Information system privacy risk management processes operate across the life cycle of an information system collecting, using, maintaining, and/or disseminating PII. Such privacy risk management processes include, but are not limited to, design requirements, privacy threshold analysis, privacy impact assessments (PIA), and implementation of secure disposition. While Section 208 of the E-Government Act does not require — or prohibit — a PIA for a national security system (NSS), as defined at 40 U.S.C. §11103 (see Section 202(i) of the E-Government Act), an organization may benefit from conducting a PIA or similar privacy risk evaluation on NSS as part of their internal risk management process to ensure privacy risks are identified, evaluated, and managed in information systems containing PII. Related Controls: RA-3 Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB Circular A-130, 7.g., 8.a.(1), 8.b.(2), and 8.b.(3) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.530(c)
AR-3	+ER	+ER	+ER	+ER	Justification for Selection: Contracts and other acquisition-related documents provide an enforceable means to ensure privacy and security controls follow the information, and that contractors and service providers protect PII in the same way the organization does. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: The contract or other acquisition-related documents must flow-down privacy and security clauses to ensure sub-contractors adequately protect PII. PHI Control Extension: Under HIPAA, a business associate must ensure its contracts or other arrangements with subcontractors meet the requirements of 45 §C.F.R. §164.504(e) Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(m); 48 C.F.R. Part 24.102; 48 C.F.R. Part 39.105; OMB Circular A-130, 7.g. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.504(e)
AR-4	+GVR	+GVR	+GVR	+R	Justification for Selection: Monitoring and auditing activities ensure privacy controls are implemented and operating effectively. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: As many of the controls assigned by the Privacy Overlays are security controls, it is most efficient to develop a coordinated organizational process to conduct monitoring and audit. Where security and privacy controls align, in order to achieve the most efficient and effective implementation, the SAOP/CPO and CIO or CISO should coordinate to develop a single organizational process to conduct audit and monitoring. Low, Moderate, and High PII Confidentiality Impact Level Parameter Values: … concurrent with the organization's security control review schedule…… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: Pub. L. No. 107-347, §208; Pub. L. No. 107-347, Title III; OMB M-07-16 PHI Regulatory/Statutory Reference: 45 C.F.R. §164.530(a)(1)(ii)
AR-5	+EGR	+EGR	+EGR	+R	Justification for Selection: Privacy Training is an effective means to reduce privacy risk for an organization and is mandated by the Privacy Act of 1974, as amended, and OMB M-07-16. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: Communications and training related to privacy and security must be job-specific and commensurate with the employee's responsibilities. Agencies must initially train employees (including managers) on their privacy and security responsibilities before permitting access to organization information and information systems. Thereafter, agencies must provide at least annual refresher training to ensure employees continue to understand their responsibilities. Additional or advanced training should also be provided commensurate with increased responsibilities or change in duties. Both initial and refresher training must include acceptable rules of behavior and the consequences when the rules are not followed. For agencies implementing telework and other authorized remote access programs, training must also include the rules of such programs. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Privacy training may be integrated with general IA training. Examples of jobs or roles that would require job-specific privacy and security training include: human resource personnel who have greater access to PII; system developers who design, develop and implement information systems containing PII; and system administrators who operate and maintain information systems containing PII. Related Control: AT-2. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9); OMB M-06-16; OMB M-07-16 ,Att. 1, A.2.d. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.530(b)(1)
AR-6	+R	+R	+R	+GR	Justification for Selection: Privacy reporting helps organizations to determine progress in meeting privacy compliance requirements and to ensure organizational accountability. PHI Supplemental Guidance: HIPAA covered entities have specific reporting requirements to the Secretary, Health and Human Services. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a; 44 U.S.C. §3541(4); OMB Circular A-130, 7.g.; Pub. L. No. 107-347, §208; OMB M-08-09 PHI Regulatory/Statutory Reference: 45 C.F.R. § 160.310(a); 45 C.F.R. §164.408
AR-7	+GR	+GR	+GR	+R	Justification for Selection: Automating privacy controls provides a concrete way of ensuring information systems are behaving in a way that is intended to achieve privacy objectives. Implementation of this Privacy Overlay enables organizations to automate application of privacy controls. One simple example, which many organizations have already implemented, is TR-1, "Privacy Notice." This concept is one part of the most commonly recognized approach to "building privacy in" which is "Privacy by Design." Privacy by Design is an internationally accepted privacy best practice endorsed by the Federal Trade Commission in their March 2012 Final Report, Protecting Consumer Privacy in an Era of Rapid Change: Recommendations for Businesses and Policymakers, and embodies the same principles of the Privacy Act and Section 208 of the EGovernment Act requiring privacy protections and safeguards before establishing or operating a system that may contain PII. Privacy by Design calls for considering privacy risks in the design and management of information systems. In addition to building in security and privacy controls discussed throughout this overlay, this control considers additional privacy-specific system characteristics and controls that must be built into the system to address privacy risks. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Regardless of the systems engineering lifecycle used, privacy requirements should be considered during system design and development and validated and verified along with other system requirements. Validation ensures the correct requirements were identified. Verification ensures the requirements were implemented correctly. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a; Pub. L. No. 107-347, §208; OMB M-03-22, Protecting Consumer Privacy in an Era of Rapid Change: Recommendations for Businesses and Policymakers, Federal Trade Commission Final Report (March 2012) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.530(c)
AR-8	+R	+R	+R	+GR	Justification for Selection: Both the Privacy Act and HIPAA require accounting of disclosures in certain circumstances. There are differences in the requirements to account for disclosures under the Privacy Act and under the HIPAA. PHI Supplemental Guidance: HIPAA covered entities have specific accounting of disclosure requirements. An accounting of disclosure documents the disclosures of PHI made by the organization to third parties. Not all disclosures are required to be reported, for specific accounting disclosure requirements see 45 C.F.R. §164.528. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(c), (j), and (k) PHI Regulatory/Statutory Reference: 45 C.F.R. §164.528
DI-1	+GR	+GR	+GR		Justification for Selection: When a record is used to make a determination of a right, benefit, or privilege for an individual, the Privacy Act of 1974, as amended, requires the information used be accurate, relevant, timely, and complete to assure fairness to the individual in the determination. Agencies should ensure the quality of all of its PII, even if it is not protected by the Privacy Act. Organization's data quality assurance process should be commensurate with the impact to an individual's rights, benefits, or privileges as determined by the system owner in consultation with the organization's privacy office. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: When PII is of a sufficiently sensitive nature (such as, but not limited to, when it is used for annual reconfirmation of a taxpayer's income for a recurring benefit or adjudication of an employee's clearance), organizations should incorporate mechanisms into information systems and develop corresponding procedures for how frequently, and by what method, the information is to be confirmed accurate, relevant, timely, and complete. Frequency of confirmation should be commensurate with the impact to an individual's rights, benefits, or privileges as determined by the system owner in consultation with the organization's privacy office. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5;); OMB Circular A-130, 7.g. and 8.a.9
DI-1 (1)		+GR	+GR		Justification for Selection: Validating PII, used to determine a right, benefit, or privilege for an individual, ensures the determination is based on accurate, timely, and relevant information. Procedures for validating PII should be commensurate with the impact to an individual's rights, benefits, or privileges as determined by the system owner in consultation with the organization's privacy office. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: When PII is of a sufficiently sensitive nature (such as, but not limited to, when it is used for annual reconfirmation of a taxpayer's income for a recurring benefit or adjudication of an employee's clearance), organizations incorporate mechanisms into information systems and develop corresponding procedures and methods to validate the PII is accurate, relevant, timely, and complete. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5;); OMB Circular A-130, 7.g. and 8.a.9.
DI-1 (2)		+VR	+VR		Justification for Selection: Re-validation of PII used to determine a right, benefit, or privilege for an individual, is necessary to ensure the determination is based on the most accurate, timely, and relevant information. Frequency of revalidation should be commensurate with the impact to an individual's rights, benefits, or privileges as determined by the system owner in consultation with the organization's privacy office. Moderate and High PII Confidentiality Impact Level Parameter Values: … as frequently as is necessary to ensure the PII is accurate, relevant, timely, and complete; commensurate with the impact of the determination to an individual's rights, benefits, or privileges as determined by the system owner in consultation with the organization's privacy office… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(5;); OMB Circular A-130, 7.g. and 8.a.9.
DI-2	GR	GR	GR		Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: The Privacy Act of 1974 has specific requirements for organizations who participate in Computer Matching. These controls are applicable when the organization is such a participant. If the organization is a participant in a matching program, as defined by the Privacy Act of 1974, then this control is applicable. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(a)(8), (o), and (u)
DI-2 (1)	GR	GR	GR		Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: The Privacy Act of 1974 has specific requirements for organizations who participate in Computer Matching. These controls are applicable when the organization is such a participant. If the organization is a participant in a matching program, as defined by the Privacy Act of 1974, then this control is applicable. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(a)(8), (o), and (u)
DM-1	+GR	+GR	+GR	+R	Justification for Selection: Coordinating review of the organization's holdings of PII with existing system review processes maximizes the efficient use of organization resources and will ensure all PII retained, even if the PII is not maintained in a Privacy Act system of records, is relevant and accurate. Reducing PII to the minimum required to accomplish the legally authorized purpose of collection and retaining PII for the minimum necessary period of time reduces the risk of PII breaches and will reduce the risk of the organization making decisions based on inaccurate PII. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: Organizations should coordinate the PII holdings reviews with the systems' annual information security reviews schedule to the maximum extent practicable. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(1); OMB M-07-16; OMB Circular A-130, 7.g. and 8.a. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.502(b)
DM-2	+VR	+VR	+VR	+VR	Justification for Selection: Both the Privacy Act and the Federal Records Act require records to be maintained and disposed of in accordance with a published Records Schedule. Disposal and destruction of PII must be done securely so that it may not be reconstructed. Low, Moderate, and High PII Confidentiality Impact Level Parameter Values: a. … the time period specified by the National Archives and Records Association (NARA)-approved Records Schedule and the Privacy Act SORN… c. … NSA-approved or FIPS-validated techniques or methods… PHI Parameter Values: a. … a minimum of 6 years from the date of its creation or the date when it was last in effect, whichever is later… Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(4)(E); NIST SP 800-88 PHI Regulatory/Statutory References: 45 C.F.R. §164.310(d)(2)(i); 45 C.F.R. §164.316(b)(2)(i); 45 C.F.R. §164.530(j)(2)
DM-2 (1)				+R	Justification for Selection: HIPAA requires the organization to follow specific procedures for de-identification and to implement policies and procedures to address the final disposition of PHI and/or the hardware or electronic media on which it is stored. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.310(d)(2)(i); 45 C.F.R. §164.514
DM-3	+GR	+GR	+GR	+GR	Justification for Selection: When developing and testing information systems, PII is at a heightened risk for accidental loss, theft, or compromise. Therefore the organization needs to take measures to reduce that risk. Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: When PII is of a sufficiently sensitive nature, to the greatest extent possible, PII should not be used when testing or developing an information system. PHI Supplemental Guidance: HIPAA has specific requirements for the use of PHI in training or research. Under the Health care operations definition, covered entities may use PHI for conducting training programs in which students, trainees, or practitioners in areas of health care learn under supervision to practice or improve their skills as health care providers, training of non-health care professionals, accreditation, certification, licensing, or credentialing activities. For additional information on the use of PHI in research, see 45 C.F.R. §164.512(i). Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: NIST SP 800-122; OMB M-07-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.501; 45 C.F.R. §164.512(i)
DM-3 (1)	GR	GR	GR	+GR	Justification for Selection: Anonymizing PII is one technique to reduce risk and decreases the potential impact if the PII is compromised. PHI Supplemental Guidance: Under HIPAA, there are three requirements that minimize the risk to privacy of using PHI for research, testing or training. The first is the de- identification of information that results in that information no longer being classified as PHI. There are only two methods for de-identification permitted by HIPAA. For specific details on those two methods see 45 C.F.R. §164.514(a). The second requirement is commonly referred to as the "Minimum Necessary Rule" which limits the amount of PHI used or disclosed to that which is reasonably necessary to accomplish the purpose for which the request for information is made. See 45 §C.F.R. §164.514(d). The third requirement allows covered entities to use or disclose a limited data set, which excludes certain direct identifiers. Unlike de-identified data, a limited data set is PHI and any use or disclosure must meet the requirements of HIPAA. See 45 C.F.R. §164.514(e). PHI Regulatory/Statutory References: 45 C.F.R. §164.501; 45 C.F.R. §164.512(i); 45 C.F.R. §164.514(a), (d), (e) Low, Moderate, and High PII Confidentiality Impact Level Supplemental Guidance: When PII is of a sufficiently sensitive nature, to the maximum extent possible, PII should be anonymized in accordance with NIST SP 800-122 prior to its use in development or testing. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: NIST SP 800-122; OMB M-07-16
